[2019-10-03 07:22:27] - Loading tables...
[2019-10-03 07:22:27] - Converting table qfyl_commentmeta
[2019-10-03 07:22:27] - Converting table qfyl_comments
[2019-10-03 07:22:27] - Converting table qfyl_links
[2019-10-03 07:22:27] - Converting table qfyl_options
[2019-10-03 07:22:27] - Converting table qfyl_postmeta
[2019-10-03 07:22:27] - Converting table qfyl_posts
[2019-10-03 07:22:27] - Converting table qfyl_term_relationships
[2019-10-03 07:22:27] - Converting table qfyl_term_taxonomy
[2019-10-03 07:22:27] - Converting table qfyl_termmeta
[2019-10-03 07:22:27] - Converting table qfyl_terms
[2019-10-03 07:22:27] - Converting table qfyl_usermeta
[2019-10-03 07:22:27] - Converting table qfyl_users
